date,weightA,gosi,priceUSA_TAIWAN,priceJP,priceCN,importPriceUSA,importPriceJP,stock,USD_KR,JPY_KR,scrap,stock_trend
2017-01-06,295000,620000,301955.5,260931.7,302432.9,337760.5,334180.0,869,1193.5,1027.29,100818.55,1000.1614914436099
2017-01-13,280000,620000,294925.0,263114.0,297745.0,327825.0,329000.0,846,1175.0,1023.79,98778.5,999.7781737584718
2017-01-20,270000,620000,294674.0,261391.4,297491.6,327546.0,316980.0,944,1174.0,1021.06,96339.6,999.3948560733337
2017-01-27,270000,620000,296437.5,260719.7,294577.5,324337.5,290625.0,1019,1162.5,1022.43,90747.75,999.0115383881956
2017-02-03,264000,620000,280356.0,256797.5,291501.3,320571.0,281505.0,1007,1149.0,1015.01,88542.90000000001,998.6282207030574
2017-02-10,256000,620000,272076.0,250554.4,291247.6,320292.0,292740.0,1064,1148.0,1010.3,90756.4,998.2449030179195
2017-02-17,255000,620000,281260.0,250381.4,291247.6,320292.0,304220.0,1055,1148.0,1013.69,93051.7,997.8615853327814
2017-02-24,252000,620000,284006.5,246021.7,287061.6,315688.5,322477.5,1141,1131.5,1004.17,96240.75,997.4782676476432
2017-03-03,252000,620000,311233.0,255109.7,299547.3,322803.0,335530.0,1085,1157.0,1012.34,99562.7,997.0949499625052
2017-03-10,263000,620000,319470.0,264778.8,299676.8,322942.5,353037.5,1005,1157.5,1002.95,103085.85,996.7116322871858
2017-03-17,278000,620000,318373.0,279122.8,293333.7,316107.0,345565.0,1065,1133.0,1000.44,100918.3,996.3283146118664
2017-03-24,284000,620000,312055.0,286681.0,290615.3,314300.0,325525.0,1110,1122.5,1009.44,96733.8,995.944996936547
2017-03-31,277000,620000,301860.0,283795.5,289450.2,313040.0,313040.0,1117,1118.0,999.28,94105.9,995.5616792612276
2017-04-07,271000,635000,294840.0,286064.3,294273.0,317520.0,306180.0,1194,1134.0,1025.32,93177.7,995.1783615859082
2017-04-14,264000,635000,290955.0,290279.4,296089.5,319480.0,308070.0,1205,1141.0,1047.94,93746.8,994.7950439105887
2017-04-21,263000,635000,284000.0,283244.5,294792.0,318080.0,301040.0,1181,1136.0,1041.34,92200.1,994.4117262352694
2017-04-28,260000,635000,267430.0,268125.6,295311.0,318640.0,290190.0,1117,1138.0,1023.38,90084.0,994.02840855995
2017-05-12,254000,635000,261580.0,228258.9,272404.0,315700.0,270600.0,1132,1127.5,992.43,85867.8,993.2617732065644
2017-05-19,250000,635000,267274.0,230641.9,271316.8,314440.0,269520.0,1127,1123.0,1007.17,85523.0,992.8784555298716
2017-05-26,246000,635000,266322.0,228634.4,270350.4,313320.0,279750.0,1125,1119.0,1007.2,87454.2,992.4951378531788
2017-06-02,239000,635000,267274.0,230644.2,248183.0,314440.0,269520.0,1141,1123.0,1007.18,85515.3,992.111820176486
2017-06-09,239000,635000,272008.0,233064.8,248404.0,314720.0,269760.0,1096,1124.0,1017.75,85591.3,991.7285024997931
